,first name,gender,race
578,carla,1,black
579,shanta,1,black
580,tenisha,1,black
581,jamisha,1,black
582,shirley,1,black
583,iris,1,black
584,babetta,1,black
585,natasha,1,black
586,rekenda,1,black
587,slynithia,1,black
588,santana,1,black
589,judith,1,black
590,bobby,1,black
591,stacy,1,black
592,alexandria,1,black
593,fredkedra,1,black
594,jamie,1,black
595,rachel,1,black
596,shakevia,1,black
597,tanika,1,black
598,deanne,1,black
599,shebeyonne,1,black
600,loveria,1,black
601,virginia,1,black
602,laquiata,1,black
603,zykira,1,black
604,tanesha,1,black
605,shakeya,1,black
606,jasmine,1,black
607,dywanda,1,black
608,lekeshia,1,black
609,valerie,1,black
610,deanna,1,black
611,angela,1,black
612,barbara,1,black
613,cynthia,1,black
614,anquette,1,black
615,ashley,1,black
616,bonnie,1,black
617,emily,1,black
618,alltawanna,1,black
619,starcena,1,black
620,kiairra,1,black
621,rhonda,1,black
622,dawn,1,black
623,princess,1,black
624,vonzay,1,black
625,windy,1,black
626,sharday,1,black
627,chiquita,1,black
628,crystal,1,black
629,angel,1,black
630,quachetta,1,black
631,jalinqua,1,black
632,angel,1,black
633,derlyn,1,black
634,mary,1,black
635,keyuanna,1,black
636,kaleigh,1,black
637,eloise,1,black
638,norgiea,1,black
639,melissa,1,black
640,ashley,1,black
641,gloria,1,black
642,celese,1,black
643,irene,1,black
644,nichole,1,black
645,deshana,1,black
646,myrlaine,1,black
647,jessica,1,black
648,odessa,1,black
649,shannon,1,black
650,lakeisha,1,black
651,lakita,1,black
652,patricia,1,black
653,tricia,1,black
654,jennifer,1,black
655,jaime,1,black
656,lillie,1,black
657,thasa,1,black
658,devanette,1,black
659,barbara,1,black
660,chenika,1,black
661,kimberly,1,black
662,lakella,1,black
663,marie,1,black
664,marilyn,1,black
665,marion,1,black
666,odette,1,black
667,sheila,1,black
668,thea,1,black
669,tonja,1,black
670,tracy,1,black
671,vonice,1,black
672,cynthia,1,black
673,kiara,1,black
674,queneshia,1,black
675,tasara,1,black
676,andrea,1,black
677,conchetia,1,black
678,irene,1,black
679,keshara,1,black
680,latisha,1,black
681,natika,1,black
682,theresa,1,black
683,vikki,1,black
684,tanya,1,black
685,dashanna,1,black
